,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.01181016124125344,0.012503126795794902,0.012503126795794902,SVM
1,0.03,0.03346043335699558,0.032530845417976545,0.032530845417976545,SVM
2,0.05,0.05550721698272657,0.05585809417570903,0.05585809417570903,SVM
3,0.1,0.11281783456715007,0.11264848054625967,0.11264848054625967,SVM
4,0.15,0.16275901700300846,0.16119899942534563,0.16119899942534563,SVM
5,0.2,0.21091032011628297,0.2107960653077781,0.2107960653077781,SVM
6,0.01,0.00717236250549304,0.008446743061893679,0.008620829530473608,DT
7,0.03,0.022804989351992717,0.023036203224825084,0.023036203224825084,DT
8,0.05,0.04386640976236353,0.04282729946252917,0.04282729946252917,DT
9,0.1,0.09271743906973601,0.09468816550045636,0.09468816550045636,DT
10,0.15,0.1426606496974614,0.14243011188858468,0.14243011188858468,DT
11,0.2,0.19739546361085758,0.19774566473988436,0.19774566473988436,DT
12,0.01,0.0066568637393097565,0.0036477030727106964,0.0037055065409187897,KNN
13,0.03,0.023380995842206685,0.011806780921475189,0.014928844268667838,KNN
14,0.05,0.039701855795558266,0.030956630497245046,0.031766555116113995,KNN
15,0.1,0.07773146739681573,0.04091843288375081,0.04392962174221682,KNN
16,0.15,0.12988811141533993,0.10177669607544874,0.10663556772470677,KNN
17,0.2,0.15470878545110373,0.15324679714701012,0.15324679714701012,KNN
18,0.01,0.005266876246492932,0.0049187033093330695,0.005093465841868648,Ada
19,0.03,0.023210965757360664,0.02419768110063214,0.025183044315992314,Ada
20,0.05,0.04086062941554273,0.04167866680187947,0.042083291079336116,Ada
21,0.1,0.08964371429537235,0.07837136193083867,0.07837136193083867,Ada
22,0.15,0.12367136531115844,0.1302065375384511,0.13287022952371294,Ada
23,0.2,0.18526552411858163,0.1883169387824088,0.19508738126626782,Ada
24,0.01,0.010648007301490743,0.011339620728120905,0.011744921069533202,GNB
25,0.03,0.03131359226582836,0.0314312273941115,0.0314312273941115,GNB
26,0.05,0.05064969746137985,0.0505912179292161,0.0505912179292161,GNB
27,0.1,0.10231957543183585,0.10382246560524626,0.10382246560524626,GNB
28,0.15,0.1505790487780144,0.15162153939762704,0.15162153939762704,GNB
29,0.2,0.20538924382246565,0.20515600175776633,0.20515600175776633,GNB
30,0.01,0.011634046580806565,0.011230774431261217,0.013083189669742779,MPR
31,0.03,0.03229557516141028,0.030326200858601236,0.03264104384274754,MPR
32,0.05,0.05180103437785215,0.05208667139911436,0.05359091370043606,MPR
33,0.1,0.10481053307642903,0.10451881147956596,0.10475070141635398,MPR
34,0.15,0.15180509076158605,0.15331068519081906,0.15336848865902716,MPR
35,0.2,0.20689754250752124,0.20469289794814588,0.20469289794814588,MPR
36,0.01,0.009088665787783548,0.008970354595544757,0.011054659770814339,RF
37,0.03,0.028012710002366242,0.030964743264712852,0.03935165466653147,RF
38,0.05,0.0479234695602204,0.04989487205489639,0.0610032789101849,RF
39,0.1,0.10012912821552919,0.09919818814859885,0.10909475036338437,RF
40,0.15,0.1521532636987459,0.1494304161173647,0.1548149274921408,RF
41,0.2,0.20852144812899298,0.2064976506777541,0.20811682385153638,RF
42,0.01,0.0,0.0,0.0,QDA
43,0.03,0.0,0.0,0.0,QDA
44,0.05,0.0,0.0,0.0,QDA
45,0.1,0.0,0.0,0.0,QDA
46,0.15,0.0,0.0,0.0,QDA
47,0.2,0.0,0.0,0.0,QDA
