,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.0,0.0,0.0,SVM
1,0.03,0.02325000000000001,0.023500000000000014,0.023500000000000014,SVM
2,0.05,0.03350000000000001,0.033250000000000016,0.033250000000000016,SVM
3,0.1,0.08249999999999999,0.08150000000000002,0.08150000000000002,SVM
4,0.15,0.13324999999999998,0.13424999999999998,0.13424999999999998,SVM
5,0.2,0.18275,0.18125,0.18125,SVM
6,0.01,0.0,0.0,0.0,DT
7,0.03,0.0025000000000000022,0.0027500000000000024,0.0027500000000000024,DT
8,0.05,0.014750000000000003,0.014000000000000002,0.014000000000000002,DT
9,0.1,0.0745,0.0755,0.0755,DT
10,0.15,0.12450000000000001,0.12475,0.12475,DT
11,0.2,0.15250000000000002,0.15050000000000002,0.15050000000000002,DT
12,0.01,0.0,0.0,0.0,KNN
13,0.03,0.015750000000000007,0.011000000000000006,0.011000000000000006,KNN
14,0.05,0.026500000000000013,0.01800000000000001,0.01800000000000001,KNN
15,0.1,0.0645,0.05550000000000001,0.05550000000000001,KNN
16,0.15,0.1065,0.08950000000000001,0.08950000000000001,KNN
17,0.2,0.137,0.12200000000000003,0.12200000000000003,KNN
18,0.01,0.0,0.0,0.0,Ada
19,0.03,0.01725000000000001,0.01850000000000001,0.01925000000000001,Ada
20,0.05,0.027500000000000007,0.028500000000000008,0.028500000000000008,Ada
21,0.1,0.062250000000000014,0.06674999999999999,0.06725,Ada
22,0.15,0.10225,0.10575000000000001,0.10725,Ada
23,0.2,0.14024999999999999,0.13225,0.1355,Ada
24,0.01,0.0,0.0,0.0,GNB
25,0.03,0.024250000000000004,0.025500000000000012,0.025500000000000012,GNB
26,0.05,0.04050000000000001,0.039250000000000014,0.039250000000000014,GNB
27,0.1,0.09075,0.09100000000000001,0.09100000000000001,GNB
28,0.15,0.1495,0.15075,0.15075,GNB
29,0.2,0.20124999999999998,0.20124999999999998,0.20124999999999998,GNB
30,0.01,0.0,0.0,0.0,MPR
31,0.03,0.023000000000000013,0.023000000000000013,0.023000000000000013,MPR
32,0.05,0.03450000000000002,0.033500000000000016,0.033500000000000016,MPR
33,0.1,0.08924999999999998,0.0895,0.0895,MPR
34,0.15,0.153,0.151,0.151,MPR
35,0.2,0.20275000000000004,0.199,0.199,MPR
36,0.01,0.0,0.0,0.0,RF
37,0.03,0.02100000000000001,0.01875000000000001,0.02025000000000001,RF
38,0.05,0.03650000000000002,0.03500000000000001,0.03575000000000001,RF
39,0.1,0.09450000000000001,0.09175000000000001,0.093,RF
40,0.15,0.14875,0.1515,0.152,RF
41,0.2,0.18825000000000003,0.1965,0.197,RF
42,0.01,0.0,0.0,0.0,QDA
43,0.03,0.02000000000000001,0.02000000000000001,0.02000000000000001,QDA
44,0.05,0.032500000000000015,0.032500000000000015,0.032500000000000015,QDA
45,0.1,0.09174999999999998,0.09199999999999998,0.09199999999999998,QDA
46,0.15,0.14575,0.14625,0.14625,QDA
47,0.2,0.19574999999999998,0.19574999999999998,0.19574999999999998,QDA
