,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.02263836477987421,0.022014150943396208,0.022702437106918223,SVM
1,0.03,0.06767020440251573,0.049474056603773575,0.056849842767295586,SVM
2,0.05,0.09719064465408804,0.09418514150943398,0.108813679245283,SVM
3,0.1,0.16692413522012578,0.1673620283018868,0.19337303459119495,SVM
4,0.15,0.23014504716981135,0.23609394654088053,0.2472877358490566,SVM
5,0.2,0.282126965408805,0.28881328616352203,0.29413011006289314,SVM
6,0.01,0.0035644654088050286,0.0026269654088050287,0.0027519654088050283,DT
7,0.03,0.03771816037735849,0.004636399371069179,0.010389937106918235,DT
8,0.05,0.07386163522012579,0.03833215408805031,0.052720911949685534,DT
9,0.1,0.14184158805031447,0.15654323899371073,0.1611073113207547,DT
10,0.15,0.20837106918238996,0.22264150943396221,0.22483333333333336,DT
11,0.2,0.26897562893081756,0.2754846698113208,0.2764874213836478,DT
12,0.01,0.0026269654088050287,0.0026269654088050287,0.0026269654088050287,KNN
13,0.03,0.009386399371069179,0.0026269654088050287,0.0029394654088050285,KNN
14,0.05,0.04847327044025157,0.0026269654088050287,0.007131682389937104,KNN
15,0.1,0.10981918238993708,0.018661163522012574,0.059054638364779866,KNN
16,0.15,0.17191745283018867,0.17304599056603776,0.17748506289308177,KNN
17,0.2,0.22164544025157232,0.19255621069182388,0.19255621069182388,KNN
18,0.01,0.011444575471698106,0.016137578616352195,0.01626257861635219,Ada
19,0.03,0.046413128930817615,0.051605738993710695,0.051793632075471704,Ada
20,0.05,0.07961831761006291,0.0756757075471698,0.07580070754716982,Ada
21,0.1,0.13609984276729556,0.12871855345911948,0.1297810534591195,Ada
22,0.15,0.1868187893081761,0.175874213836478,0.178936713836478,Ada
23,0.2,0.23548820754716976,0.2148922955974843,0.2217063679245283,Ada
24,0.01,0.013571933962264148,0.010883647798742135,0.014385613207547165,GNB
25,0.03,0.044340801886792444,0.04678066037735849,0.05190723270440252,GNB
26,0.05,0.06866863207547169,0.08142492138364779,0.0893069968553459,GNB
27,0.1,0.13896737421383648,0.1512240566037736,0.16123152515723269,GNB
28,0.15,0.20757232704402515,0.21188954402515722,0.21783136792452834,GNB
29,0.2,0.27017649371069186,0.26779834905660377,0.26873663522012575,GNB
30,0.01,0.02026415094339622,0.023517688679245276,0.030086084905660372,MPR
31,0.03,0.05278223270440252,0.06441981132075472,0.07680227987421384,MPR
32,0.05,0.0884944968553459,0.10287853773584907,0.11882704402515723,MPR
33,0.1,0.16504716981132073,0.17749724842767295,0.19156643081761004,MPR
34,0.15,0.2329669811320755,0.24160455974842768,0.2496717767295597,MPR
35,0.2,0.28612814465408803,0.2920672169811321,0.2991969339622641,MPR
36,0.01,0.020510613207547164,0.028079795597484275,0.03383333333333333,RF
37,0.03,0.05840644654088049,0.06766509433962262,0.08454992138364781,RF
38,0.05,0.09675432389937108,0.10876061320754718,0.12789583333333335,RF
39,0.1,0.17836477987421384,0.1858069968553459,0.2043808962264151,RF
40,0.15,0.24309551886792452,0.24735416666666668,0.2612346698113207,RF
41,0.2,0.296187893081761,0.2961328616352201,0.3073867924528302,RF
42,0.01,0.01088325471698113,0.0026269654088050287,0.006568003144654086,QDA
43,0.03,0.04396422955974843,0.0529752358490566,0.06266784591194968,QDA
44,0.05,0.07348113207547169,0.0874937106918239,0.09643867924528302,QDA
45,0.1,0.13577122641509431,0.1550998427672956,0.1631674528301887,QDA
46,0.15,0.20494929245283017,0.21832940251572325,0.21939190251572324,QDA
47,0.2,0.26279716981132073,0.2725550314465409,0.2725550314465409,QDA
