,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.00973887587822014,0.009167196386751422,0.010066075610572097,SVM
1,0.03,0.02931774841083974,0.02976722984275677,0.030768149882903977,SVM
2,0.05,0.050754683840749416,0.05102007360321178,0.05212303445968551,SVM
3,0.1,0.10050936768149883,0.10103922716627636,0.10248921043827368,SVM
4,0.15,0.15067271662763468,0.15302024088323854,0.15381641017062564,SVM
5,0.2,0.20383589829374374,0.20258966209434592,0.20375351288056204,SVM
6,0.01,0.008656741385078631,0.0026330712612914055,0.004348109735697561,DT
7,0.03,0.028379140180662427,0.02980787888926062,0.03474891267982603,DT
8,0.05,0.04912060889929742,0.052062562730010045,0.060720475075276004,DT
9,0.1,0.09926296420207427,0.09889737370357979,0.11369797591167614,DT
10,0.15,0.14652810304449648,0.14771227835396455,0.15791978922716626,DT
11,0.2,0.1963440950150552,0.1946886082301773,0.19877266644362662,DT
12,0.01,0.0005306958849113463,0.0005306958849113463,0.0005306958849113463,KNN
13,0.03,0.014598109735697556,0.0005306958849113463,0.0015715122114419579,KNN
14,0.05,0.027376463700234194,0.0005306958849113463,0.011740465038474408,KNN
15,0.1,0.06847599531615926,0.001693961191033795,0.02676421880227501,KNN
16,0.15,0.12088415858146535,0.1176203579792573,0.12133497825359651,KNN
17,0.2,0.16931858481097356,0.1382786885245902,0.1382786885245902,KNN
18,0.01,0.0073094680495148934,0.007412261625961867,0.0074530779524924805,Ada
19,0.03,0.02194831047172967,0.019928571428571424,0.020051187688190024,Ada
20,0.05,0.04322298427567748,0.04179340916694547,0.041875209100033464,Ada
21,0.1,0.07790799598527935,0.08123544663767146,0.08145993643358984,Ada
22,0.15,0.13102994312479088,0.13272382067581132,0.1330503512880562,Ada
23,0.2,0.17710764469722315,0.1684762462361994,0.16992539310806293,Ada
24,0.01,0.008227751756440279,0.00843099698895952,0.009329039812646373,GNB
25,0.03,0.030216209434593515,0.030605051856808296,0.035035379725660745,GNB
26,0.05,0.05196094011375042,0.04916376714620274,0.05822883907661426,GNB
27,0.1,0.09938842422214789,0.10104048176647709,0.11582268317162932,GNB
28,0.15,0.14942898962863835,0.14959200401472067,0.16733439277350287,GNB
29,0.2,0.19612111073937777,0.19599749079959858,0.20865632318501173,GNB
30,0.01,0.009533121445299435,0.01035095349615256,0.011575777852124457,MPR
31,0.03,0.029705336232853784,0.030992137838742034,0.034748578119772486,MPR
32,0.05,0.05106147540983606,0.05128571428571429,0.05718568082970893,MPR
33,0.1,0.09957067581130814,0.10049088323854131,0.10941201070592173,MPR
34,0.15,0.1500423218467715,0.15101681164268985,0.16179675476748076,MPR
35,0.2,0.19877701572432252,0.20218241886918703,0.2145541987286718,MPR
36,0.01,0.010574857811977253,0.009881983941117433,0.01008631649381064,RF
37,0.03,0.03176998996319839,0.0314824355971897,0.03260547005687521,RF
38,0.05,0.05224690531950484,0.05187888926062227,0.05443174974907995,RF
39,0.1,0.10143057878889261,0.09895851455336233,0.10598210103713616,RF
40,0.15,0.1509990799598528,0.14952910672465708,0.15877751756440278,RF
41,0.2,0.19969262295081963,0.20050970224155237,0.2094926396788223,RF
42,0.01,0.008268819003011038,0.0076358313817330254,0.009207761793241894,QDA
43,0.03,0.027867765138842426,0.029725828036132485,0.03246119103379057,QDA
44,0.05,0.04750794580127134,0.051407995985279356,0.056431080628972896,QDA
45,0.1,0.09644546671127467,0.09895742723318836,0.10624590163934426,QDA
46,0.15,0.1463036132485781,0.14673235195717632,0.15232753429240548,QDA
47,0.2,0.1949966543994647,0.1961626798260288,0.19697925727668117,QDA
